Network,Alpha2code,Region,City
 188.248.100.0/24,SA,SA-01,Riyadh
 188.248.101.0/24,SA,SA-01,Riyadh
 188.248.102.0/24,SA,SA-01,Riyadh
188.248.31.0/24               ,SA,SA-01,Riyadh
 188.248.103.0/24,SA,SA-01,Riyadh
 188.248.105.0/24,SA,SA-01,Riyadh
 188.248.106.0/24,SA,SA-01,Riyadh
 188.248.107.0/24,SA,SA-01,Riyadh
 188.248.108.0/24,SA,SA-01,Riyadh
 188.248.109.0/24,SA,SA-01,Riyadh
 188.248.110.0/24,SA,SA-01,Riyadh
 188.248.111.0/24,SA,SA-01,Riyadh
 188.248.112.0/24,SA,SA-01,Riyadh
 188.248.113.0/24,SA,SA-01,Riyadh
 188.248.114.0/24,SA,SA-01,Riyadh
 188.248.115.0/24,SA,SA-01,Riyadh
 188.248.116.0/24,SA,SA-01,Riyadh
 188.248.117.0/24,SA,SA-01,Riyadh
 188.248.118.0/24,SA,SA-01,Riyadh
 188.248.119.0/24,SA,SA-01,Riyadh
 188.248.120.0/24,SA,SA-01,Riyadh
 188.248.121.0/24,SA,SA-01,Riyadh
 188.248.122.0/24,SA,SA-01,Riyadh
 188.248.123.0/24,SA,SA-01,Riyadh
 188.248.124.0/24,SA,SA-01,Riyadh
 188.248.125.0/24,SA,SA-01,Riyadh
 188.248.126.0/24,SA,SA-01,Riyadh
 188.248.127.0/24,SA,SA-01,Riyadh
 188.248.128.0/24,SA,SA-01,Riyadh
 188.248.129.0/24,SA,SA-01,Riyadh
 188.248.130.0/24,SA,SA-01,Riyadh
 188.248.131.0/24,SA,SA-01,Riyadh
 188.248.133.0/24,SA,SA-01,Riyadh
 188.248.134.0/24,SA,SA-01,Riyadh
 188.248.135.0/24,SA,SA-01,Riyadh
 188.248.136.0/24,SA,SA-01,Riyadh
 188.248.137.0/24,SA,SA-01,Riyadh
 188.248.138.0/24,SA,SA-01,Riyadh
 188.248.139.0/24,SA,SA-01,Riyadh
 188.248.140.0/24,SA,SA-01,Riyadh
 188.248.141.0/24,SA,SA-01,Riyadh
 188.248.142.0/24,SA,SA-01,Riyadh
 188.248.143.0/24,SA,SA-01,Riyadh
 188.248.144.0/24,SA,SA-01,Riyadh
 188.248.145.0/24,SA,SA-01,Riyadh
 188.248.146.0/24,SA,SA-01,Riyadh
 188.248.147.0/24,SA,SA-01,Riyadh
 188.248.148.0/24,SA,SA-01,Riyadh
