Network,Alpha2code,Region,City,Postal code 
2A02:888:52::/48,SA,SA-01,Riyadh,
2A02:888:55::/64,SA,SA-01,Riyadh,
2A02:888:53::/48,SA,SA-01,Riyadh,
2A02:888:54::/48,SA,SA-01,Riyadh,
2A02:888:44::/48,SA,SA-01,Riyadh,
2A02:888:47::/64,SA,SA-01,Riyadh,
2A02:888:45::/48,SA,SA-01,Riyadh,
2A02:888:46::/48,SA,SA-01,Riyadh,
2A02:888:48::/48,SA,SA-01,Riyadh,
2A02:888:51:1000::/64,SA,SA-01,Riyadh,
2A02:888:49::/48,SA,SA-01,Riyadh,
2A02:888:50::/48,SA,SA-01,Riyadh,
2A02:888:40::/48,SA,SA-01,Riyadh,
2A02:888:43::/64,SA,SA-01,Riyadh,
2A02:888:41::/48,SA,SA-01,Riyadh,
2A02:888:42::/48,SA,SA-01,Riyadh,
2A02:88D:30::/48,SA,SA-01,Riyadh,
2A02:88D:3F::/64,SA,SA-01,Riyadh,
2A02:88D:39::/48,SA,SA-01,Riyadh,
2A02:88D:3A::/48,SA,SA-01,Riyadh,
2A02:88D:3B::/48,SA,SA-01,Riyadh,
2A02:88D:3C::/48,SA,SA-01,Riyadh,
2A02:88D:3D::/48,SA,SA-01,Riyadh,
2A02:88D:3E::/48,SA,SA-01,Riyadh,
2A02:88D:31::/48,SA,SA-01,Riyadh,
2A02:88D:32::/48,SA,SA-01,Riyadh,
2A02:88D:33::/48,SA,SA-01,Riyadh,
2A02:88D:34::/48,SA,SA-01,Riyadh,
2A02:88D:35::/48,SA,SA-01,Riyadh,
2A02:88D:36::/48,SA,SA-01,Riyadh,
2A02:88D:37::/48,SA,SA-01,Riyadh,
2A02:88D:38::/48,SA,SA-01,Riyadh,
2A02:88D:10::/48,SA,SA-01,Riyadh,
2A02:88D:1F::/64,SA,SA-01,Riyadh,
2A02:88D:19::/48,SA,SA-01,Riyadh,
2A02:88D:1A::/48,SA,SA-01,Riyadh,
2A02:88D:1B::/48,SA,SA-01,Riyadh,
2A02:88D:1C::/48,SA,SA-01,Riyadh,
2A02:88D:1D::/48,SA,SA-01,Riyadh,
2A02:88D:1E::/48,SA,SA-01,Riyadh,
2A02:88D:11::/48,SA,SA-01,Riyadh,
2A02:88D:12::/48,SA,SA-01,Riyadh,
2A02:88D:13::/48,SA,SA-01,Riyadh,
2A02:88D:14::/48,SA,SA-01,Riyadh,
